starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 29 18:22:17 2021	1630228937	0	3766	3766	3613
Sun Aug 29 18:23:33 2021	1630229013	0	3771	3771	3696
Sun Aug 29 18:22:43 2021	1630228963	0	3782	3782	3370
Sun Aug 29 18:24:00 2021	1630229040	0	3783	3783	3604
Sun Aug 29 18:23:15 2021	1630228995	0	3783	3784	2943
Sun Aug 29 18:22:43 2021	1630228963	0	3793	3793	2873
Sun Aug 29 18:23:36 2021	1630229016	0	3799	3799	3380
Sun Aug 29 18:23:50 2021	1630229030	0	3803	3803	3643
Sun Aug 29 18:23:20 2021	1630229000	0	3805	3805	3523
Sun Aug 29 18:23:51 2021	1630229031	0	3813	3813	3313
Sun Aug 29 18:22:18 2021	1630228938	0	3814	3814	3667
Sun Aug 29 18:23:09 2021	1630228989	0	3822	3823	3655
Sun Aug 29 18:22:20 2021	1630228940	0	3828	3828	3720
Sun Aug 29 18:23:27 2021	1630229007	0	3834	3834	3326
Sun Aug 29 18:22:17 2021	1630228937	0	3849	3850	3805
Sun Aug 29 18:22:23 2021	1630228943	0	3859	3859	3578
Sun Aug 29 18:22:31 2021	1630228951	1	3864	3864	3262
Sun Aug 29 18:23:13 2021	1630228993	0	3866	3866	3729
Sun Aug 29 18:22:15 2021	1630228935	0	3867	3867	2961
Sun Aug 29 18:23:07 2021	1630228987	0	3871	3871	3790
Sun Aug 29 18:24:00 2021	1630229040	0	3883	3884	3251
Sun Aug 29 18:23:26 2021	1630229006	1	3906	3907	3355
Sun Aug 29 18:23:22 2021	1630229002	0	3909	3909	2596
Sun Aug 29 18:23:24 2021	1630229004	0	3912	3912	2966
Sun Aug 29 18:23:42 2021	1630229022	0	3912	3912	3661
Sun Aug 29 18:22:23 2021	1630228943	0	3914	3914	3778
Sun Aug 29 18:23:12 2021	1630228992	0	3916	3916	3835
Sun Aug 29 18:23:27 2021	1630229007	0	3919	3919	3586
Sun Aug 29 18:23:51 2021	1630229031	0	3923	3923	3755
Sun Aug 29 18:24:00 2021	1630229040	0	3928	3928	3699
Sun Aug 29 18:23:16 2021	1630228996	3	3926	3929	3813
Sun Aug 29 18:23:25 2021	1630229005	0	3929	3929	3768
Sun Aug 29 18:23:35 2021	1630229015	0	3933	3933	3493
Sun Aug 29 18:23:15 2021	1630228995	0	3933	3934	3587
Sun Aug 29 18:22:41 2021	1630228961	0	3935	3935	3159
Sun Aug 29 18:23:39 2021	1630229019	0	3942	3942	3730
Sun Aug 29 18:23:19 2021	1630228999	0	3948	3948	3421
Sun Aug 29 18:23:53 2021	1630229033	0	3949	3949	3865
Sun Aug 29 18:23:31 2021	1630229011	0	3950	3950	3905
Sun Aug 29 18:23:27 2021	1630229007	0	3954	3954	3877
Sun Aug 29 18:23:39 2021	1630229019	0	3956	3957	3857
Sun Aug 29 18:23:34 2021	1630229014	0	3959	3959	3296
Sun Aug 29 18:22:14 2021	1630228934	0	3968	3968	3559
Sun Aug 29 18:22:15 2021	1630228935	0	3968	3968	3868
Sun Aug 29 18:23:42 2021	1630229022	0	3969	3969	3707
Sun Aug 29 18:22:50 2021	1630228970	0	3970	3971	2876
Sun Aug 29 18:23:16 2021	1630228996	0	3972	3973	3867
Sun Aug 29 18:23:15 2021	1630228995	2	3971	3973	3606
Sun Aug 29 18:22:15 2021	1630228935	0	3980	3980	3516
Sun Aug 29 18:23:12 2021	1630228992	0	3983	3984	3874
Sun Aug 29 18:22:43 2021	1630228963	0	3985	3985	3844
Sun Aug 29 18:24:00 2021	1630229040	0	3989	3989	3834
Sun Aug 29 18:22:40 2021	1630228960	0	3991	3991	3611
Sun Aug 29 18:22:41 2021	1630228961	0	4002	4002	3902
Sun Aug 29 18:24:18 2021	1630229058	0	4003	4003	3533
Sun Aug 29 18:23:32 2021	1630229012	0	4007	4007	3797
Sun Aug 29 18:22:46 2021	1630228966	0	4011	4011	3788
Sun Aug 29 18:23:28 2021	1630229008	0	4024	4024	3757
Sun Aug 29 18:22:45 2021	1630228965	0	4049	4049	2538
Sun Aug 29 18:23:27 2021	1630229007	0	4051	4051	3897
Sun Aug 29 18:22:43 2021	1630228963	0	4052	4052	3948
Sun Aug 29 18:23:10 2021	1630228990	0	4052	4053	3948
Sun Aug 29 18:23:42 2021	1630229022	0	4054	4054	2926
Sun Aug 29 18:24:18 2021	1630229058	0	4061	4061	3792
Sun Aug 29 18:23:12 2021	1630228992	0	4062	4062	3568
Sun Aug 29 18:22:17 2021	1630228937	0	4065	4065	3446
Sun Aug 29 18:23:25 2021	1630229005	0	4067	4067	3842
Sun Aug 29 18:22:39 2021	1630228959	0	4085	4085	3184
Sun Aug 29 18:23:17 2021	1630228997	0	4087	4087	3937
Sun Aug 29 18:23:31 2021	1630229011	0	4090	4091	3880
Sun Aug 29 18:23:24 2021	1630229004	0	4099	4099	4046
Sun Aug 29 18:22:41 2021	1630228961	0	4101	4101	4026
Sun Aug 29 18:22:42 2021	1630228962	0	4120	4120	3641
Sun Aug 29 18:23:27 2021	1630229007	0	4139	4139	3706
Sun Aug 29 18:22:17 2021	1630228937	0	4146	4146	4105
Sun Aug 29 18:22:17 2021	1630228937	0	4149	4149	3577
Sun Aug 29 18:23:16 2021	1630228996	0	4169	4169	4085
Sun Aug 29 18:22:23 2021	1630228943	0	4172	4172	3594
Sun Aug 29 18:23:36 2021	1630229016	0	4173	4173	3130
Sun Aug 29 18:23:37 2021	1630229017	0	4175	4175	4034
Sun Aug 29 18:23:31 2021	1630229011	0	4175	4175	4083
Sun Aug 29 18:22:39 2021	1630228959	0	4180	4181	3210
Sun Aug 29 18:23:27 2021	1630229007	0	4183	4183	4098
Sun Aug 29 18:23:19 2021	1630228999	0	4185	4185	3909
Sun Aug 29 18:23:42 2021	1630229022	0	4189	4190	3892
Sun Aug 29 18:22:15 2021	1630228935	0	4191	4191	3711
Sun Aug 29 18:23:15 2021	1630228995	2	4192	4194	4128
Sun Aug 29 18:24:00 2021	1630229040	0	4194	4194	3744
Sun Aug 29 18:23:56 2021	1630229036	0	4195	4195	4019
Sun Aug 29 18:23:19 2021	1630228999	0	4196	4196	4146
Sun Aug 29 18:22:46 2021	1630228966	0	4199	4199	3430
Sun Aug 29 18:23:20 2021	1630229000	0	4202	4202	3683
Sun Aug 29 18:22:18 2021	1630228938	0	4209	4209	4129
Sun Aug 29 18:23:23 2021	1630229003	0	4209	4209	2992
Sun Aug 29 18:23:13 2021	1630228993	0	4213	4213	4056
Sun Aug 29 18:23:58 2021	1630229038	1	4213	4214	4166
Sun Aug 29 18:23:28 2021	1630229008	0	4218	4218	4157
Sun Aug 29 18:22:35 2021	1630228955	0	4219	4219	3716
Sun Aug 29 18:23:23 2021	1630229003	0	4220	4220	3293
Sun Aug 29 18:23:39 2021	1630229019	0	4231	4231	3878
Sun Aug 29 18:23:11 2021	1630228991	0	4231	4231	4067
Sun Aug 29 18:22:50 2021	1630228970	0	4242	4242	4053
Sun Aug 29 18:22:39 2021	1630228959	0	4244	4244	3859
Sun Aug 29 18:23:29 2021	1630229009	0	4248	4248	2785
Sun Aug 29 18:24:02 2021	1630229042	0	4250	4250	2919
Sun Aug 29 18:23:55 2021	1630229035	0	4250	4250	2879
Sun Aug 29 18:23:23 2021	1630229003	0	4251	4251	2721
Sun Aug 29 18:23:15 2021	1630228995	1	4254	4255	3791
Sun Aug 29 18:23:36 2021	1630229016	0	4255	4255	3942
Sun Aug 29 18:23:28 2021	1630229008	0	4268	4268	4033
Sun Aug 29 18:23:12 2021	1630228992	0	4272	4273	3793
Sun Aug 29 18:22:48 2021	1630228968	0	4273	4274	4193
Sun Aug 29 18:23:12 2021	1630228992	0	4274	4274	3828
Sun Aug 29 18:23:19 2021	1630228999	0	4276	4276	3444
Sun Aug 29 18:23:53 2021	1630229033	0	4276	4276	4199
Sun Aug 29 18:23:23 2021	1630229003	0	4277	4278	2689
Sun Aug 29 18:23:16 2021	1630228996	0	4282	4282	4152
Sun Aug 29 18:23:14 2021	1630228994	0	4288	4288	4215
Sun Aug 29 18:22:13 2021	1630228933	0	4289	4289	3514
Sun Aug 29 18:22:42 2021	1630228962	0	4298	4298	3887
Sun Aug 29 18:23:12 2021	1630228992	0	4299	4300	3821
Sun Aug 29 18:23:24 2021	1630229004	0	4301	4301	4061
Sun Aug 29 18:23:52 2021	1630229032	0	4311	4311	4227
Sun Aug 29 18:22:18 2021	1630228938	0	4322	4322	4198
Sun Aug 29 18:23:52 2021	1630229032	0	4324	4324	3386
Sun Aug 29 18:22:39 2021	1630228959	0	4332	4332	4245
Sun Aug 29 18:23:30 2021	1630229010	0	4334	4334	4218
Sun Aug 29 18:23:27 2021	1630229007	0	4336	4336	3632
Sun Aug 29 18:22:17 2021	1630228937	0	4339	4339	4287
Sun Aug 29 18:22:38 2021	1630228958	0	4341	4341	4118
Sun Aug 29 18:22:21 2021	1630228941	0	4346	4346	3646
Sun Aug 29 18:23:06 2021	1630228986	0	4347	4347	3411
Sun Aug 29 18:23:24 2021	1630229004	0	4351	4351	4294
Sun Aug 29 18:23:12 2021	1630228992	0	4354	4354	4032
Sun Aug 29 18:23:25 2021	1630229005	0	4355	4355	3807
Sun Aug 29 18:23:24 2021	1630229004	0	4355	4356	4219
Sun Aug 29 18:24:18 2021	1630229058	0	4361	4361	4126
Sun Aug 29 18:23:36 2021	1630229016	0	4364	4364	3829
Sun Aug 29 18:23:57 2021	1630229037	0	4367	4367	3555
Sun Aug 29 18:23:47 2021	1630229027	0	4371	4371	3013
Sun Aug 29 18:22:11 2021	1630228931	0	4372	4373	3073
Sun Aug 29 18:24:00 2021	1630229040	0	4385	4385	4000
Sun Aug 29 18:24:13 2021	1630229053	0	4393	4393	4266
Sun Aug 29 18:23:31 2021	1630229011	0	4397	4397	4352
Sun Aug 29 18:22:42 2021	1630228962	0	4397	4398	3571
Sun Aug 29 18:23:32 2021	1630229012	0	4399	4399	4003
Sun Aug 29 18:22:40 2021	1630228960	0	4402	4402	4326
Sun Aug 29 18:23:28 2021	1630229008	0	4406	4406	4141
Sun Aug 29 18:22:16 2021	1630228936	0	4406	4407	3290
Sun Aug 29 18:23:27 2021	1630229007	0	4408	4409	4246
Sun Aug 29 18:22:38 2021	1630228958	0	4411	4411	3841
Sun Aug 29 18:22:42 2021	1630228962	0	4414	4414	4315
Sun Aug 29 18:22:33 2021	1630228953	0	4420	4420	3580
Sun Aug 29 18:23:16 2021	1630228996	0	4422	4423	4340
Sun Aug 29 18:23:50 2021	1630229030	0	4424	4424	3825
Sun Aug 29 18:23:59 2021	1630229039	0	4423	4424	3779
Sun Aug 29 18:22:12 2021	1630228932	1	4423	4424	3744
Sun Aug 29 18:23:39 2021	1630229019	0	4425	4425	3564
Sun Aug 29 18:23:30 2021	1630229010	0	4428	4428	3832
Sun Aug 29 18:22:39 2021	1630228959	0	4428	4428	4334
