starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 29 18:18:00 2021	1630228680	0	4656	4656	4584
Sun Aug 29 18:17:02 2021	1630228622	0	4657	4657	4474
Sun Aug 29 18:18:28 2021	1630228708	0	4663	4663	4190
Sun Aug 29 18:17:27 2021	1630228647	0	4665	4665	3002
Sun Aug 29 18:18:28 2021	1630228708	0	4672	4672	3762
Sun Aug 29 18:17:59 2021	1630228679	0	4674	4675	4159
Sun Aug 29 18:17:59 2021	1630228679	0	4679	4680	4363
Sun Aug 29 18:17:30 2021	1630228650	0	4680	4680	4631
Sun Aug 29 18:16:48 2021	1630228608	6	4676	4682	2373
Sun Aug 29 18:16:48 2021	1630228608	10	4674	4684	3416
Sun Aug 29 18:18:11 2021	1630228691	0	4687	4687	4098
Sun Aug 29 18:17:01 2021	1630228621	0	4689	4689	4636
Sun Aug 29 18:18:23 2021	1630228703	0	4695	4695	4020
Sun Aug 29 18:19:10 2021	1630228750	0	4695	4695	4060
Sun Aug 29 18:16:48 2021	1630228608	8	4692	4700	3693
Sun Aug 29 18:16:56 2021	1630228616	0	4702	4703	3907
Sun Aug 29 18:18:26 2021	1630228706	0	4706	4706	4632
Sun Aug 29 18:18:42 2021	1630228722	0	4720	4720	4127
Sun Aug 29 18:18:40 2021	1630228720	0	4740	4741	4635
Sun Aug 29 18:16:53 2021	1630228613	0	4745	4745	4004
Sun Aug 29 18:18:43 2021	1630228723	0	4746	4746	4267
Sun Aug 29 18:18:26 2021	1630228706	0	4773	4773	3447
Sun Aug 29 18:18:40 2021	1630228720	0	4778	4778	3702
Sun Aug 29 18:19:07 2021	1630228747	0	4780	4780	4624
Sun Aug 29 18:17:59 2021	1630228679	0	4782	4783	4728
Sun Aug 29 18:17:06 2021	1630228626	0	4785	4785	4651
Sun Aug 29 18:18:45 2021	1630228725	0	4788	4789	4570
Sun Aug 29 18:16:52 2021	1630228612	0	4795	4795	4026
Sun Aug 29 18:17:28 2021	1630228648	0	4798	4798	4195
Sun Aug 29 18:18:31 2021	1630228711	0	4799	4799	3970
Sun Aug 29 18:17:53 2021	1630228673	0	4806	4806	4694
Sun Aug 29 18:16:55 2021	1630228615	0	4811	4811	4707
Sun Aug 29 18:18:29 2021	1630228709	0	4818	4818	4610
Sun Aug 29 18:16:48 2021	1630228608	5	4813	4818	2598
Sun Aug 29 18:16:53 2021	1630228613	0	4819	4819	4647
Sun Aug 29 18:18:30 2021	1630228710	0	4824	4824	4199
Sun Aug 29 18:16:53 2021	1630228613	1	4823	4825	3427
Sun Aug 29 18:18:25 2021	1630228705	1	4832	4833	4304
Sun Aug 29 18:17:54 2021	1630228674	0	4833	4833	3669
Sun Aug 29 18:18:53 2021	1630228733	0	4835	4835	4245
Sun Aug 29 18:18:45 2021	1630228725	0	4839	4839	3617
Sun Aug 29 18:18:22 2021	1630228702	0	4855	4855	4317
Sun Aug 29 18:17:36 2021	1630228656	1	4857	4857	4024
Sun Aug 29 18:18:06 2021	1630228686	0	4857	4858	4416
Sun Aug 29 18:16:59 2021	1630228619	0	4858	4858	4313
Sun Aug 29 18:18:45 2021	1630228725	0	4864	4865	3753
Sun Aug 29 18:18:27 2021	1630228707	0	4871	4871	4067
Sun Aug 29 18:17:13 2021	1630228633	0	4873	4873	4370
Sun Aug 29 18:19:03 2021	1630228743	0	4878	4878	4784
Sun Aug 29 18:18:58 2021	1630228738	0	4881	4881	4785
Sun Aug 29 18:18:04 2021	1630228684	0	4886	4886	4372
Sun Aug 29 18:18:26 2021	1630228706	0	4888	4888	3815
Sun Aug 29 18:18:26 2021	1630228706	0	4891	4891	4227
Sun Aug 29 18:16:48 2021	1630228608	8	4884	4892	4144
Sun Aug 29 18:18:08 2021	1630228688	0	4894	4894	4180
Sun Aug 29 18:18:09 2021	1630228689	0	4900	4900	3629
Sun Aug 29 18:18:10 2021	1630228690	0	4904	4904	3076
Sun Aug 29 18:19:09 2021	1630228749	0	4907	4907	4245
Sun Aug 29 18:18:16 2021	1630228696	0	4908	4908	3575
Sun Aug 29 18:17:33 2021	1630228653	0	4911	4911	4712
Sun Aug 29 18:16:52 2021	1630228612	0	4915	4915	3926
Sun Aug 29 18:16:48 2021	1630228608	8	4910	4918	3329
Sun Aug 29 18:18:31 2021	1630228711	0	4922	4922	4798
Sun Aug 29 18:18:42 2021	1630228722	0	4928	4928	3926
Sun Aug 29 18:18:06 2021	1630228686	0	4931	4931	4860
Sun Aug 29 18:18:16 2021	1630228696	0	4934	4934	3621
Sun Aug 29 18:18:14 2021	1630228694	0	4942	4942	4429
Sun Aug 29 18:18:49 2021	1630228729	0	4949	4950	4903
Sun Aug 29 18:18:07 2021	1630228687	0	4950	4950	4123
Sun Aug 29 18:18:45 2021	1630228725	0	4953	4953	3695
Sun Aug 29 18:17:58 2021	1630228678	0	4956	4956	4369
Sun Aug 29 18:18:43 2021	1630228723	0	4959	4959	4307
Sun Aug 29 18:17:59 2021	1630228679	0	4962	4962	4890
Sun Aug 29 18:17:35 2021	1630228655	0	4969	4969	4925
Sun Aug 29 18:18:55 2021	1630228735	0	4970	4971	4545
Sun Aug 29 18:17:36 2021	1630228656	0	4978	4978	4334
Sun Aug 29 18:18:32 2021	1630228712	0	5024	5025	3104
Sun Aug 29 18:17:33 2021	1630228653	0	5025	5025	3492
Sun Aug 29 18:16:48 2021	1630228608	2	5027	5029	3524
Sun Aug 29 18:17:54 2021	1630228674	0	5043	5043	4631
Sun Aug 29 18:18:04 2021	1630228684	0	5053	5053	4046
Sun Aug 29 18:18:56 2021	1630228736	0	5055	5055	4675
Sun Aug 29 18:16:54 2021	1630228614	0	5057	5057	4372
Sun Aug 29 18:17:54 2021	1630228674	0	5061	5061	4077
Sun Aug 29 18:18:22 2021	1630228702	0	5071	5071	4575
Sun Aug 29 18:18:14 2021	1630228694	0	5074	5074	2492
Sun Aug 29 18:18:11 2021	1630228691	0	5075	5075	4841
Sun Aug 29 18:18:04 2021	1630228684	0	5076	5076	4305
Sun Aug 29 18:18:02 2021	1630228682	0	5077	5077	3505
Sun Aug 29 18:18:28 2021	1630228708	0	5083	5083	4580
Sun Aug 29 18:18:12 2021	1630228692	0	5090	5090	4725
Sun Aug 29 18:18:08 2021	1630228688	0	5093	5093	4275
Sun Aug 29 18:18:04 2021	1630228684	0	5094	5095	4560
Sun Aug 29 18:17:27 2021	1630228647	0	5094	5095	3622
Sun Aug 29 18:19:05 2021	1630228745	0	5095	5095	3502
Sun Aug 29 18:16:48 2021	1630228608	8	5088	5095	4979
Sun Aug 29 18:18:21 2021	1630228701	0	5096	5096	4271
Sun Aug 29 18:18:30 2021	1630228710	0	5100	5100	3985
Sun Aug 29 18:16:48 2021	1630228608	9	5095	5104	4999
Sun Aug 29 18:18:08 2021	1630228688	0	5105	5106	5042
Sun Aug 29 18:17:57 2021	1630228677	0	5109	5109	3841
Sun Aug 29 18:18:23 2021	1630228703	0	5110	5110	4415
Sun Aug 29 18:17:01 2021	1630228621	0	5119	5119	5036
Sun Aug 29 18:18:26 2021	1630228706	0	5126	5126	5061
Sun Aug 29 18:17:29 2021	1630228649	0	5134	5134	4539
Sun Aug 29 18:18:09 2021	1630228689	0	5135	5135	4419
Sun Aug 29 18:18:21 2021	1630228701	0	5135	5135	4612
Sun Aug 29 18:18:59 2021	1630228739	0	5137	5137	4923
Sun Aug 29 18:17:39 2021	1630228659	0	5139	5139	4767
Sun Aug 29 18:18:03 2021	1630228683	0	5140	5140	4803
Sun Aug 29 18:18:56 2021	1630228736	0	5140	5140	4479
Sun Aug 29 18:19:09 2021	1630228749	0	5149	5150	3968
Sun Aug 29 18:18:14 2021	1630228694	0	5150	5150	4233
Sun Aug 29 18:16:54 2021	1630228614	0	5151	5151	4697
Sun Aug 29 18:18:58 2021	1630228738	0	5152	5152	4552
Sun Aug 29 18:18:45 2021	1630228725	0	5154	5154	4488
Sun Aug 29 18:18:08 2021	1630228688	0	5168	5169	5088
Sun Aug 29 18:17:00 2021	1630228620	0	5181	5181	4580
Sun Aug 29 18:16:54 2021	1630228614	0	5181	5181	4612
Sun Aug 29 18:18:13 2021	1630228693	0	5181	5182	4452
Sun Aug 29 18:17:31 2021	1630228651	0	5182	5182	4335
Sun Aug 29 18:18:10 2021	1630228690	0	5185	5185	4900
Sun Aug 29 18:18:12 2021	1630228692	0	5185	5185	4660
Sun Aug 29 18:18:32 2021	1630228712	0	5186	5186	4634
Sun Aug 29 18:18:52 2021	1630228732	0	5187	5187	5073
Sun Aug 29 18:16:57 2021	1630228617	0	5191	5191	4457
Sun Aug 29 18:19:08 2021	1630228748	0	5193	5193	4574
Sun Aug 29 18:18:00 2021	1630228680	0	5198	5198	5096
Sun Aug 29 18:18:42 2021	1630228722	0	5200	5200	2940
Sun Aug 29 18:18:06 2021	1630228686	0	5201	5201	5100
Sun Aug 29 18:17:31 2021	1630228651	0	5204	5204	3480
Sun Aug 29 18:18:35 2021	1630228715	0	5210	5210	4511
Sun Aug 29 18:18:11 2021	1630228691	0	5220	5221	4198
Sun Aug 29 18:16:57 2021	1630228617	0	5226	5226	5062
Sun Aug 29 18:18:54 2021	1630228734	0	5227	5227	4340
Sun Aug 29 18:18:42 2021	1630228722	0	5236	5236	4182
Sun Aug 29 18:18:11 2021	1630228691	0	5243	5243	5169
Sun Aug 29 18:18:48 2021	1630228728	0	5244	5245	3672
Sun Aug 29 18:18:21 2021	1630228701	0	5249	5249	4829
Sun Aug 29 18:18:21 2021	1630228701	0	5253	5253	4534
Sun Aug 29 18:18:02 2021	1630228682	0	5253	5253	4373
Sun Aug 29 18:18:13 2021	1630228693	0	5254	5254	4751
Sun Aug 29 18:19:09 2021	1630228749	0	5269	5269	5164
Sun Aug 29 18:16:51 2021	1630228611	0	5271	5272	5192
Sun Aug 29 18:16:48 2021	1630228608	5	5267	5272	4004
Sun Aug 29 18:17:29 2021	1630228649	0	5272	5272	4659
Sun Aug 29 18:17:21 2021	1630228641	0	5275	5275	5173
Sun Aug 29 18:18:21 2021	1630228701	0	5275	5275	4312
Sun Aug 29 18:18:27 2021	1630228707	0	5278	5278	4863
Sun Aug 29 18:17:30 2021	1630228650	0	5290	5290	3889
Sun Aug 29 18:17:30 2021	1630228650	0	5292	5292	4123
Sun Aug 29 18:17:21 2021	1630228641	0	5301	5302	4732
Sun Aug 29 18:19:01 2021	1630228741	0	5302	5302	4496
Sun Aug 29 18:18:27 2021	1630228707	0	5306	5306	4216
Sun Aug 29 18:16:52 2021	1630228612	0	5307	5307	5131
Sun Aug 29 18:17:35 2021	1630228655	0	5310	5310	4337
Sun Aug 29 18:18:06 2021	1630228686	0	5310	5310	4792
Sun Aug 29 18:17:23 2021	1630228643	0	5316	5316	4919
Sun Aug 29 18:18:10 2021	1630228690	0	5324	5325	4975
Sun Aug 29 18:18:16 2021	1630228696	0	5334	5334	3857
Sun Aug 29 18:18:27 2021	1630228707	0	5334	5335	4455
Sun Aug 29 18:16:55 2021	1630228615	0	5335	5335	3722
Sun Aug 29 18:18:13 2021	1630228693	0	5336	5336	4844
Sun Aug 29 18:18:03 2021	1630228683	0	5342	5342	3345
Sun Aug 29 18:18:28 2021	1630228708	0	5343	5343	4599
Sun Aug 29 18:19:05 2021	1630228745	0	5349	5349	4710
Sun Aug 29 18:18:46 2021	1630228726	0	5350	5350	3516
Sun Aug 29 18:17:29 2021	1630228649	0	5353	5353	4268
Sun Aug 29 18:18:27 2021	1630228707	0	5353	5353	4910
Sun Aug 29 18:16:59 2021	1630228619	0	5355	5355	4846
Sun Aug 29 18:17:01 2021	1630228621	0	5365	5365	5167
